"name","desc","coded","type"
"DIVISION","Census Division","1	New England
",FALSE
"USESOLAR","Solar used","1	Yes
0	No
",FALSE
"SOLWATER","Solar used for water heating","1	Yes
0	No
",FALSE
"SOLOTHER","Solar used, other than for water heating","1	Yes
0	No
",FALSE
"CLIMATE_REGION_PUB","Building America Climate Zone","NA	Cold/Very Cold
NA	Hot-Dry/Mixed-Dry
NA	Hot-Humid
NA	Mixed-Humid
NA	Marine
",FALSE
"KWH","Total site electricity usage, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHSPH","Electricity usage for space heating, main and secondary, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHCOL","Electricity usage for air conditioning (central systems and individual units), in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHWTH","Electricity usage for water heating, main and secondary, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHRFG","Electricity usage for all refrigerators, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHRFG1","Electricity usage for first refrigerators, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHRFG2","Electricity usage for second refrigerators, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHFRZ","Electricity usage for freezers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHCOK","Electricity usage for cooking (stoves, cooktops, and ovens), in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHMICRO","Electricity usage for microwaves, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHCW","Electricity usage for clothes washers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHCDR","Electricity usage for clothes dryers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHDWH","Electricity usage for dishwashers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHLGT","Electricity usage for indoor and outdoor lighting, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHTVREL","Electricity usage for all televisions and related peripherals, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHTV1","Electricity usage for first televisions, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHTV2","Electricity usage for second televisions, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHAHUCOL","Electricity usage for air handlers used for cooling, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHEVAPCOL","Electricity usage for evaporative coolers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHCFAN","Electricity usage for ceiling fans, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHDHUM","Electricity usage for dehumidifiers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHHUM","Electricity usage for humidifiers, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHPLPMP","Electricity usage for swimming pool pumps, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHHTBPMP","Electricity usage for hot tub pumps, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHHTBHEAT","Electricity usage for hot tub heaters, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"KWHNEC","Electricity usage for other devices and purposes not elsewhere classified, in kilowatthours, 2015","NA	Kilowatthours
",FALSE
"BTUEL","Total site electricity usage, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELSPH","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELCOL","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELWTH","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELRFG","Electricity usage for all refrigerators, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELRFG1","Electricity usage for first refrigerators, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELRFG2","Electricity usage for second refrigerators, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELFRZ","Electricity usage for freezers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELCOK","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELMICRO","Electricity usage for microwaves, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELCW","Electricity usage for clothes washers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELCDR","Electricity usage for clothes dryers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELDWH","Electricity usage for dishwashers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELLGT","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELTVREL","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELTV1","Electricity usage for first televisions, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELTV2","Electricity usage for second televisions, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELAHUCOL","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELEVAPCOL","Electricity usage for evaporative coolers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELCFAN","Electricity usage for ceiling fans, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELDHUM","Electricity usage for dehumidifiers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELHUM","Electricity usage for humidifiers, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELPLPMP","Electricity usage for swimming pool pumps, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELHTBPMP","Electricity usage for hot tub pumps, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELHTBHEAT","Electricity usage for hot tub heaters, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"BTUELNEC","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","NA	Thousand Btu
",FALSE
"DOLLAREL","Total electricity cost, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELSPH","Electricity cost for space heating, main and secondary, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELCOL","Electricity cost for air conditioning (central systems and individual units), in dollars, 2015","NA	US Dollars
",FALSE
"DOLELWTH","Electricity cost for water heating, main and secondary, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELRFG","Electricity cost for all refrigerators, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELRFG1","Electricity cost for first refrigerators, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELRFG2","Electricity cost for second refrigerators, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELFRZ","Electricity cost for freezers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELCOK","Electricity cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","NA	US Dollars
",FALSE
"DOLELMICRO","Electricity cost for microwaves, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELCW","Electricity cost for clothes washers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELCDR","Electricity cost for clothes dryers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELDWH","Electricity cost for dishwashers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELLGT","Electricity cost for indoor and outdoor lighting, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELTVREL","Electricity cost for all televisions and related peripherals, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELTV1","Electricity cost for first televisions, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELTV2","Electricity cost for second televisions, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELAHUHEAT","Electricity cost for air handlers and boiler pumps used for heating, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELAHUCOL","Electricity cost for air handlers used for cooling, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELEVAPCOL","Electricity cost for evaporative coolers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELCFAN","Electricity cost for ceiling fans, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELDHUM","Electricity cost for dehumidifiers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELHUM","Electricity cost for humidifiers, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELPLPMP","Electricity cost for swimming pool pumps, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELHTBPMP","Electricity cost for hot tub pumps, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELHTBHEAT","Electricity cost for hot tub heaters, in dollars, 2015","NA	US Dollars
",FALSE
"DOLELNEC","Electricity cost for other devices and purposes not elsewhere classified, in dollars, 2015","NA	US Dollars
",FALSE
"DOLLARNG","Total natural gas cost, in dollars, 2015","NA	US Dollars
",FALSE
"DOLLARLP","Total cost of propane, in dollars, 2015","NA	US Dollars
",FALSE
"DOLLARFO","Total cost of fuel oil/kerosene, in dollars, 2015","NA	US Dollars
",FALSE
"ELXBTU","Kilowatthour to Btu conversion factor, 2015","3.4119999999999999	Thousand Btu per kilowatthour
",FALSE
"PERIODEL","Number of days covered by Energy Supplier Survey electricity billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
",FALSE
"NGXBTU","Localized cubic feet to Btu conversion factor, 2015","NA	Thousand Btu per cubic feet of natural gas (varies)
",FALSE
"PERIODNG","Number of days covered by Energy Supplier Survey natural gas billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
-2	Not applicable, no natural gas consumption
",FALSE
"FOXBTU","Fuel oil/kerosene to Btu conversion factor, 2015","137.45 	Thousand Btu per gallons of #2 fuel oil
135	Thousand Btu per gallons of kerosene
135.48, 136.79, 137.37	Thousand Btu per gallons of other fuels
",FALSE
"PERIODFO","Number of days covered by Energy Supplier Survey fuel oil/kerosene billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no fuel oil consumption
",FALSE
"LPXBTU","Propane to Btu conversion factor, 2015","91.33	Thousand Btu per gallons of propane
",FALSE
"PERIODLP","Number of days covered by Energy Supplier Survey propane billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no propane consumption
",FALSE
"NA","NA","NA	NA
",FALSE
"Note: For each variable used as input for the end-use models, the model it appears in are indicated as follows:
SPH: Space heating
AHUHEAT: Air handlers for heating 
COL: Air conditioning
AHUCOL: Air handlers for cooling
EVAPCOL: Evaporative coolers
FANS: Fans
DHUM: Dehumidifiers
HUM: Humidifiers
WTH: Water heating
LGT: Lighting
RFG: Refigerators
FRZ: Freezers
DWH: Dishwashers
COK: Stoves, cooktops, and ovens
MICRO: Microwaves
TVREL: Televisions and related
CW: Clothers washers
CDR: Clothes dryers
PLPMP: Pool pumps
PLHEAT: Pool heaters
HTBPMP: Hot tub pumps
HTBHEAT: Hot tub heaters
NEC: Not elsewhere classified","NA","NA	NA
",FALSE
