"name","desc","coded"
"DIVISION","Census Division","1	New England
"
"KWHAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in kilowatthours, 2015","Kilowatthours
"
"KWHAHUCOL","Electricity usage for air handlers used for cooling, in kilowatthours, 2015","Kilowatthours
"
"KWHEVAPCOL","Electricity usage for evaporative coolers, in kilowatthours, 2015","Kilowatthours
"
"KWHCFAN","Electricity usage for ceiling fans, in kilowatthours, 2015","Kilowatthours
"
"KWHDHUM","Electricity usage for dehumidifiers, in kilowatthours, 2015","Kilowatthours
"
"KWHHUM","Electricity usage for humidifiers, in kilowatthours, 2015","Kilowatthours
"
"KWHPLPMP","Electricity usage for swimming pool pumps, in kilowatthours, 2015","Kilowatthours
"
"KWHHTBPMP","Electricity usage for hot tub pumps, in kilowatthours, 2015","Kilowatthours
"
"KWHHTBHEAT","Electricity usage for hot tub heaters, in kilowatthours, 2015","Kilowatthours
"
"KWHNEC","Electricity usage for other devices and purposes not elsewhere classified, in kilowatthours, 2015","Kilowatthours
"
"BTUEL","Total site electricity usage, in thousand Btu, 2015","Thousand Btu
"
"BTUELSPH","Electricity usage for space heating, main and secondary, in thousand Btu, 2015","Thousand Btu
"
"BTUELCOL","Electricity usage for air conditioning (central systems and individual units), in thousand Btu, 2015","Thousand Btu
"
"BTUELWTH","Electricity usage for water heating, main and secondary, in thousand Btu, 2015","Thousand Btu
"
"BTUELRFG","Electricity usage for all refrigerators, in thousand Btu, 2015","Thousand Btu
"
"BTUELRFG1","Electricity usage for first refrigerators, in thousand Btu, 2015","Thousand Btu
"
"BTUELRFG2","Electricity usage for second refrigerators, in thousand Btu, 2015","Thousand Btu
"
"BTUELFRZ","Electricity usage for freezers, in thousand Btu, 2015","Thousand Btu
"
"BTUELCOK","Electricity usage for cooking (stoves, cooktops, and ovens), in thousand Btu, 2015","Thousand Btu
"
"BTUELMICRO","Electricity usage for microwaves, in thousand Btu, 2015","Thousand Btu
"
"BTUELCW","Electricity usage for clothes washers, in thousand Btu, 2015","Thousand Btu
"
"BTUELCDR","Electricity usage for clothes dryers, in thousand Btu, 2015","Thousand Btu
"
"BTUELDWH","Electricity usage for dishwashers, in thousand Btu, 2015","Thousand Btu
"
"BTUELLGT","Electricity usage for indoor and outdoor lighting, in thousand Btu, 2015","Thousand Btu
"
"BTUELTVREL","Electricity usage for all televisions and related peripherals, in thousand Btu, 2015","Thousand Btu
"
"BTUELTV1","Electricity usage for first televisions, in thousand Btu, 2015","Thousand Btu
"
"BTUELTV2","Electricity usage for second televisions, in thousand Btu, 2015","Thousand Btu
"
"BTUELAHUHEAT","Electricity usage for air handlers and boiler pumps used for heating, in thousand Btu, 2015","Thousand Btu
"
"BTUELAHUCOL","Electricity usage for air handlers used for cooling, in thousand Btu, 2015","Thousand Btu
"
"BTUELEVAPCOL","Electricity usage for evaporative coolers, in thousand Btu, 2015","Thousand Btu
"
"BTUELCFAN","Electricity usage for ceiling fans, in thousand Btu, 2015","Thousand Btu
"
"BTUELDHUM","Electricity usage for dehumidifiers, in thousand Btu, 2015","Thousand Btu
"
"BTUELHUM","Electricity usage for humidifiers, in thousand Btu, 2015","Thousand Btu
"
"BTUELPLPMP","Electricity usage for swimming pool pumps, in thousand Btu, 2015","Thousand Btu
"
"BTUELHTBPMP","Electricity usage for hot tub pumps, in thousand Btu, 2015","Thousand Btu
"
"BTUELHTBHEAT","Electricity usage for hot tub heaters, in thousand Btu, 2015","Thousand Btu
"
"BTUELNEC","Electricity usage for other devices and purposes not elsewhere classified, in thousand Btu, 2015","Thousand Btu
"
"DOLLAREL","Total electricity cost, in dollars, 2015","US Dollars
"
"DOLELSPH","Electricity cost for space heating, main and secondary, in dollars, 2015","US Dollars
"
"DOLELCOL","Electricity cost for air conditioning (central systems and individual units), in dollars, 2015","US Dollars
"
"DOLELWTH","Electricity cost for water heating, main and secondary, in dollars, 2015","US Dollars
"
"DOLELRFG","Electricity cost for all refrigerators, in dollars, 2015","US Dollars
"
"DOLELRFG1","Electricity cost for first refrigerators, in dollars, 2015","US Dollars
"
"DOLELRFG2","Electricity cost for second refrigerators, in dollars, 2015","US Dollars
"
"DOLELFRZ","Electricity cost for freezers, in dollars, 2015","US Dollars
"
"DOLELCOK","Electricity cost for cooking (stoves, cooktops, and ovens), in dollars, 2015","US Dollars
"
"DOLELMICRO","Electricity cost for microwaves, in dollars, 2015","US Dollars
"
"DOLELCW","Electricity cost for clothes washers, in dollars, 2015","US Dollars
"
"DOLELCDR","Electricity cost for clothes dryers, in dollars, 2015","US Dollars
"
"DOLELDWH","Electricity cost for dishwashers, in dollars, 2015","US Dollars
"
"DOLELLGT","Electricity cost for indoor and outdoor lighting, in dollars, 2015","US Dollars
"
"DOLELTVREL","Electricity cost for all televisions and related peripherals, in dollars, 2015","US Dollars
"
"DOLELTV1","Electricity cost for first televisions, in dollars, 2015","US Dollars
"
"DOLELTV2","Electricity cost for second televisions, in dollars, 2015","US Dollars
"
"DOLELAHUHEAT","Electricity cost for air handlers and boiler pumps used for heating, in dollars, 2015","US Dollars
"
"DOLELAHUCOL","Electricity cost for air handlers used for cooling, in dollars, 2015","US Dollars
"
"DOLELEVAPCOL","Electricity cost for evaporative coolers, in dollars, 2015","US Dollars
"
"DOLELCFAN","Electricity cost for ceiling fans, in dollars, 2015","US Dollars
"
"DOLELDHUM","Electricity cost for dehumidifiers, in dollars, 2015","US Dollars
"
"DOLELHUM","Electricity cost for humidifiers, in dollars, 2015","US Dollars
"
"DOLELPLPMP","Electricity cost for swimming pool pumps, in dollars, 2015","US Dollars
"
"DOLELHTBPMP","Electricity cost for hot tub pumps, in dollars, 2015","US Dollars
"
"DOLELHTBHEAT","Electricity cost for hot tub heaters, in dollars, 2015","US Dollars
"
"DOLELNEC","Electricity cost for other devices and purposes not elsewhere classified, in dollars, 2015","US Dollars
"
"DOLLARNG","Total natural gas cost, in dollars, 2015","US Dollars
"
"DOLLARLP","Total cost of propane, in dollars, 2015","US Dollars
"
"DOLLARFO","Total cost of fuel oil/kerosene, in dollars, 2015","US Dollars
"
"ELXBTU","Kilowatthour to Btu conversion factor, 2015","3.4119999999999999	Thousand Btu per kilowatthour
"
"PERIODEL","Number of days covered by Energy Supplier Survey electricity billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
"
"NGXBTU","Localized cubic feet to Btu conversion factor, 2015","Thousand Btu per cubic feet of natural gas (varies)
"
"PERIODNG","Number of days covered by Energy Supplier Survey natural gas billing data and used to calculate annual consumption and expenditures","1	330 days or more
2	At least 146, but less than 330 days
3	At least 60, but less than 146 days
4	Less than 60 days
5	No billing data collected or billing data not used
-2	Not applicable, no natural gas consumption
"
"FOXBTU","Fuel oil/kerosene to Btu conversion factor, 2015","137.45 	Thousand Btu per gallons of #2 fuel oil
135	Thousand Btu per gallons of kerosene
135.48, 136.79, 137.37	Thousand Btu per gallons of other fuels
"
"PERIODFO","Number of days covered by Energy Supplier Survey fuel oil/kerosene billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no fuel oil consumption
"
"LPXBTU","Propane to Btu conversion factor, 2015","91.33	Thousand Btu per gallons of propane
"
"PERIODLP","Number of days covered by Energy Supplier Survey propane billing data and used to calculate annual consumption and expenditures","1	365 days (complete)
2	Less than 365 days (incomplete)
5	No delivery data collected
-2	Not applicable, no propane consumption
"
NA,NA,"NA
"
"Note: For each variable used as input for the end-use models, the model it appears in are indicated as follows:
SPH: Space heating
AHUHEAT: Air handlers for heating 
COL: Air conditioning
AHUCOL: Air handlers for cooling
EVAPCOL: Evaporative coolers
FANS: Fans
DHUM: Dehumidifiers
HUM: Humidifiers
WTH: Water heating
LGT: Lighting
RFG: Refigerators
FRZ: Freezers
DWH: Dishwashers
COK: Stoves, cooktops, and ovens
MICRO: Microwaves
TVREL: Televisions and related
CW: Clothers washers
CDR: Clothes dryers
PLPMP: Pool pumps
PLHEAT: Pool heaters
HTBPMP: Hot tub pumps
HTBHEAT: Hot tub heaters
NEC: Not elsewhere classified",NA,"NA
"
