"name","desc","coded"
"DOEID","Unique identifier for each respondent","10001 - 	Unique identifier for each respondent
"
"FUELAUX","Secondary space heating fuel","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
7	Wood
21	Some other fuel
-2	Not applicable
"
"ZFUELAUX","Imputation flag for FUELAUX","1	Imputed
0	Not imputed
-2	Not applicable
"
"BASEHEAT","Heating used in basement","1	Yes
0	No
-2	Not applicable
"
"ZBASEHEAT","Imputation flag for BASEHEAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"ATTCHEAT","Heating used in attic","1	Yes
0	No
-2	Not applicable
"
"ZATTCHEAT","Imputation flag for ATTCHEAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"GARGHEAT","Heating used in attached garage","1	Yes
0	No
-2	Not applicable
"
"ZGARGHEAT","Imputation flag for GARGHEAT","1	Imputed
0	Not imputed
-2	Not applicable
"
"MOISTURE","Humidifier used","1	Yes
0	No
"
"ZMOISTURE","Imputation flag for MOISTURE","1	Imputed
0	Not imputed
"
"USEMOISTURE","Number of months humidifier used in last year","0 - 12	Number of months humidifier used in last year
-2	Not applicable
"
"ZUSEMOISTURE","Imputation flag for USEMOISTURE","1	Imputed
0	Not imputed
-2	Not applicable
"
"AIRCOND","Air conditioning equipment used","1	Yes
0	No
"
"ZAIRCOND","Imputation flag for AIRCOND","1	Imputed
0	Not imputed
"
"COOLTYPE","Type of air conditioning equipment used","1	Central air conditioning system
2	Individual window/wall or portable units 
3	Both a central system and individual units
-2	Not applicable
"
"ZCOOLTYPE","Imputation flag for COOLTYPE","1	Imputed
0	Not imputed
-2	Not applicable
"
"CENACHP","Central air conditioner is a heat pump","1	Yes
0	No
-2	Not applicable
"
"ZCENACHP","Imputation flag for CENACHP","1	Imputed
0	Not imputed
-2	Not applicable
"
"AGECENAC","Age of central air conditioner","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZAGECENAC","Imputation flag for AGECENAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"THERMAINAC","Thermostat for central air conditioner","1	Yes
0	No
-2	Not applicable
"
"ZTHERMAINAC","Imputation flag for THERMAINAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"PROTHERMAC","Programmable thermostat for central air conditioner","1	Yes
0	No
-2	Not applicable
"
"ZPROTHERMAC","Imputation flag for PROTHERMAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"USECENAC","Central air conditioner household behavior","1	Set one temperature and leave it there most of the time
2	Manually adjust the temperature at night or when no one is at home
3	Program the thermostat to automatically adjust the temperature during the day and night at certain times
4	Turn equipment on or off as needed
5	Our household does not have control over the equipment
-2	Not applicable
"
"ZUSECENAC","Imputation flag for USECENAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"NUMBERAC","Number of individual air conditioning units used","1 - 15	Number of individual air conditioning units used
-2	Not applicable
"
"ZNUMBERAC","Imputation flag for NUMBERAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"WWACAGE","Age of most-used individual air conditioning unit","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZWWACAGE","Imputation flag for WWACAGE","1	Imputed
0	Not imputed
-2	Not applicable
"
"USEWWAC","Most-used individual air conditioning unit household behavior","1	Set one temperature and leave it there most of the time
2	Manually adjust the temperature at night or when no one is at home
3	Program the thermostat to automatically adjust the temperature during the day and night at certain times
4	Turn equipment on or off as needed
5	Our household does not have control over the equipment
9	Other
-2	Not applicable
"
"ZUSEWWAC","Imputation flag for USEWWAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPHOMEAC","Summer temperature when someone is home during the day","50 - 90	Summer temperature when someone is home during the day
-2	Not applicable
"
"ZTEMPHOMEAC","Imputation flag for TEMPHOMEAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPGONEAC","Summer temperature when no one is home during the day","50 - 90	Summer temperature when no one is home during the day
-2	Not applicable
"
"ZTEMPGONEAC","Imputation flag for TEMPGONEAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"TEMPNITEAC","Summer temperature at night","50 - 90	Summer temperature at night
-2	Not applicable
"
"ZTEMPNITEAC","Imputation flag for TEMPNITEAC","1	Imputed
0	Not imputed
-2	Not applicable
"
"BASECOOL","Cooling used in basement","1	Yes
0	No
-2	Not applicable
"
"ZBASECOOL","Imputation flag for BASECOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"ATTCCOOL","Cooling used in attic","1	Yes
0	No
-2	Not applicable
"
"ZATTCCOOL","Imputation flag for ATTCCOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"GARGCOOL","Cooling used in attached garage","1	Yes
0	No
-2	Not applicable
"
"ZGARGCOOL","Imputation flag for GARGCOOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"SWAMPCOL","Swamp cooler used","1	Yes
0	No
-2	Not applicable
"
"ZSWAMPCOL","Imputation flag for SWAMPCOL","1	Imputed
0	Not imputed
-2	Not applicable
"
"NUMCFAN","Number of ceiling fans used","0 - 15	Number of ceiling fans used
"
"ZNUMCFAN","Imputation flag for NUMCFAN","1	Imputed
0	Not imputed
"
"NUMFLOORFAN","Number of floor, window, or table fans used","0 - 15	Number of floor, window, or table fans used
"
"ZNUMFLOORFAN","Imputation flag for NUMFLOORFAN","1	Imputed
0	Not imputed
"
"NUMWHOLEFAN","Number of whole house fans used","0 - 15	Number of whole house fans used
-2	Not applicable
"
"ZNUMWHOLEFAN","Imputation flag for NUMWHOLEFAN","1	Imputed
0	Not imputed
-2	Not applicable
"
"NUMATTICFAN","Number of attic fans used","0 - 15	Number of attic fans used
-2	Not applicable
"
"ZNUMATTICFAN","Imputation flag for NUMATTICFAN","1	Imputed
0	Not imputed
-2	Not applicable
"
"NOTMOIST","Dehumidifier used","1	Yes
0	No
"
"ZNOTMOIST","Imputation flag for NOTMOIST","1	Imputed
0	Not imputed
"
"USENOTMOIST","Number of months dehumidifier used in last year","0 - 12	Number of months dehumidifier used in last year
-2	Not applicable
"
"ZUSENOTMOIST","Imputation flag for USENOTMOIST","1	Imputed
0	Not imputed
-2	Not applicable
"
"FUELH2O","Fuel used by main water heater","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
7	Wood
8	Solar
21	Some other fuel
"
"ZFUELH2O","Imputation flag for FUELH2O","1	Imputed
0	Not imputed
"
"H2OHEATAPT","Water heater in apartment or other part of building","1	In apartment 
2	Somewhere else in building
-2	Not applicable
"
"ZH2OHEATAPT","Imputation flag for H2OHEATAPT","1	Imputed
0	Not imputed
-2	Not applicable
"
"WHEATAGE","Main water heater age","1	Less than 2 years old
2	2 to 4 years old
3	5 to 9 years old
41	10 to 14 years old
42	15 to 19 years old
5	20 years or older
-2	Not applicable
"
"ZWHEATAGE","Imputation flag for WHEATAGE","1	Imputed
0	Not imputed
-2	Not applicable
"
"WHEATSIZ","Main water heater size","1	Small storage tank (30 gallons or less) 
2	Medium storage tank  (31 to 49 gallons) 
3	Large storage tank  (50 gallons or more) 
4	Tankless or on-demand
-2	Not applicable
"
"ZWHEATSIZ","Imputation flag for WHEATSIZ","1	Imputed
0	Not imputed
-2	Not applicable
"
"MORETHAN1H2O","More than one water heater","1	Yes
0	No
-2	Not applicable
"
"ZMORETHAN1H2O","Imputation flag for MORETHAN1H2O","1	Imputed
0	Not imputed
-2	Not applicable
"
"FUELH2O2","Fuel used by secondary water heater","1	Natural gas from underground pipes
2	Propane (bottled gas)
3	Fuel oil/kerosene
5	Electricity
7	Wood
8	Solar
21	Some other fuel
-2	Not applicable
"
"ZFUELH2O2","Imputation flag for FUELH2O2","1	Imputed
0	Not imputed
-2	Not applicable
"
"LGTINNUM","Number of light bulbs installed inside the home","1	Fewer than 20 light bulbs
2	20 to 39 light bulbs
3	40 to 59 light bulbs
4	60 to 79 light bulbs
5	80 or more light bulbs
"
"ZLGTINNUM","Imputation flag for LGTINNUM","1	Imputed
0	Not imputed
"
"LGTIN4","Number of inside light bulbs turned on at least 4 hours a day","0 - 99	Number of inside light bulbs turned on at least 4 hours a day
"
"ZLGTIN4","Imputation flag for LGTIN4","1	Imputed
0	Not imputed
"
"LGTINCAN","Portion of inside light bulbs that are incandescent","1	All
2	Most
3	About half
4	Some
0	None
"
"ZLGTINCAN","Imputation flag for LGTINCAN","1	Imputed
0	Not imputed
"
"LGTINCFL","Portion of inside light bulbs that are CFL","1	All
2	Most
3	About half
4	Some
0	None
"
"ZLGTINCFL","Imputation flag for LGTINCFL","1	Imputed
0	Not imputed
"
"LGTINLED","Portion of inside light bulbs that are LED","1	All
2	Most
3	About half
4	Some
0	None
"
"ZLGTINLED","Imputation flag for LGTINLED","1	Imputed
0	Not imputed
"
"LGTINCNTL","Inside light bulbs controlled by timers or dimmer switches","1	Yes
0	No
"
"ZLGTINCNTL","Imputation flag for LGTINCNTL","1	Imputed
0	Not imputed
"
"LGTOUTNUM","Number of light bulbs installed outside the home","0	None
1	1 to 4 bulbs
2	5 to 9 bulbs
3	10 or more bulbs
-2	Not applicable
"
"ZLGTOUTNUM","Imputation flag for LGTOUTNUM","1	Imputed
0	Not imputed
-2	Not applicable
"
"LGTOUTCNTL","Outside light bulbs controlled by motion detectors or light sensors","1	Yes
0	No
-2	Not applicable
"
"ZLGTOUTCNTL","Imputation flag for LGTOUTCNTL","1	Imputed
0	Not imputed
-2	Not applicable
"
"AUDIT","Home energy audit","1	Yes
0	No
-8	Refused
-9	Don’t know
"
"AUDITCHG","Made changes suggested by home energy auditor","1	Yes
0	No
-2	Not applicable
-9	Don’t know
"
"EELIGHTS","Received free or subsidized energy-efficient light bulbs","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"FREEAUDIT","Received free or subsidized home energy audit","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"REBATEAPP","Received utility or energy supplier rebate for new appliance or equipment","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"RECYCAPP","Received free recycling of old appliance or equipment (for example, a refrigerator)","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"TAXCREDITAPP","Received tax credit for new appliance or equipment","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"BENOTHER","Received some other energy-related benefit or assistance","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESCWASH","Energy Star qualified clothes washer","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESDISHW","Energy Star qualified dishwasher","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESDRYER","Energy Star qualified clothes dryer","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESFREEZE","Energy Star qualified freezer","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESFRIG","Energy Star qualified refrigerator","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"ESLIGHT","Energy Star qualified lightbulbs","1	Yes
0	No
-8	Refused
-9	Don’t know
"
"ESWATER","Energy Star qualified water heating","1	Yes
0	No
-8	Refused
-9	Don’t know
"
"ESWIN","Energy Star qualified windows","1	Yes
0	No
-8	Refused
-9	Don’t know
"
"SMARTTHERM","Smart thermostat","1	Yes
0	No
-2	Not applicable
-9	Don't know
"
"ELPAY","Who pays for electricity","1	Household is responsible for paying for all used in this home
2	All used in this home is included in the rent or condo fee
3	Some is paid by the household, some is included in the rent or condo fee
9	Paid for some other way
"
"ZELPAY","Imputation flag for ELPAY","1	Imputed
0	Not imputed
"
"NGPAY","Who pays for natural gas","1	Household is responsible for paying for all used in this home
2	All used in this home is included in the rent or condo fee
3	Some is paid by the household, some is included in the rent or condo fee
9	Paid for some other way
-2	Not applicable
"
"ZNGPAY","Imputation flag for NGPAY","1	Imputed
0	Not imputed
-2	Not applicable
"
"LPGPAY","Who pays for propane","1	Household is responsible for paying for all used in this home
2	All used in this home is included in the rent or condo fee
3	Some is paid by the household, some is included in the rent or condo fee
9	Paid for some other way
-2	Not applicable
"
"ZLPGPAY","Imputation flag for LPGPAY","1	Imputed
0	Not imputed
-2	Not applicable
"
"FOPAY","Who pays for fuel oil","1	Household is responsible for paying for all used in this home
2	All used in this home is included in the rent or condo fee
3	Some is paid by the household, some is included in the rent or condo fee
9	Paid for some other way
-2	Not applicable
"
"ZFOPAY","Imputation flag for FOPAY","1	Imputed
0	Not imputed
-2	Not applicable
"
"SMARTMETER","Home has an electricity smart meter","1	Yes
0	No
-8	Refused
-9	Don’t know
"
"INTDATA","Household has access to smart meter interval data","1	Yes
0	No
-2	Not applicable
-8	Refused
-9	Don’t know
"
"INTDATAACC","Household member has viewed smart meter interval data","1	Yes
0	No
-2	Not applicable
-9	Don’t know
"
"HHSEX","Respondent sex","1	Female
2	Male
"
"ZHHSEX","Imputation flag for HHSEX","1	Imputed
0	Not imputed
"
"HHAGE","Respondent age","18 - 110	Respondent age
"
"ZHHAGE","Imputation flag for HHAGE","1	Imputed
0	Not imputed
"
"EMPLOYHH","Respondent employment status","1	Employed full-time
2	Employed part-time
0	Not employed/retired
"
"ZEMPLOYHH","Imputation flag for EMPLOYHH","1	Imputed
0	Not imputed
"
"SDESCENT","Respondent is Hispanic or Latino","1	Yes
0	No
"
"ZSDESCENT","Imputation flag for SDESCENT","1	Imputed
0	Not imputed
"
"HOUSEHOLDER_RACE","Householder (respondent) race","1	White Alone
2	Black or African/American Alone
3	American Indian or Alaska Native Alone
4	Asian Alone
5	Native Hawaiian or Other Pacific Islander Alone
6	Some Other Race Alone
7	2 or More Races Selected
"
"ZHOUSEHOLDER_RACE","Imputation flag for HOUSEHOLDER_RACE","1	Imputed
0	Not imputed
"
"EDUCATION","Highest education completed by respondent","1	Less than high school diploma or GED
2	High school diploma or GED
3	Some college or Associate’s degree
4	Bachelor’s degree (for example: BA, BS)
5	Master’s, Professional, or Doctorate degree (for example: MA, MS, MBA, MD, JD, PhD)
"
"ZEDUCATION","Imputation flag for EDUCATION","1	Imputed
0	Not imputed
"
"NHSLDMEM","Number of household members","1 - 20	Number of household members
"
"ZNHSLDMEM","Imputation flag for NHSLDMEM","1	Imputed
0	Not imputed
"
"NUMADULT","Number of household members age 18 or older","1 - 20	Number of household members age 18 or older
"
"ZNUMADULT","Imputation flag for NUMADULT","1	Imputed
0	Not imputed
"
"NUMCHILD","Number of household members age 17 or younger","0 - 20	Number of household members age 17 or younger
"
"ZNUMCHILD","Imputation flag for NUMCHILD","1	Imputed
0	Not imputed
"
"ATHOME","Number of weekdays someone is at home","0 - 5	Number of weekdays someone is at home
"
"ZATHOME","Imputation flag for ATHOME","1	Imputed
0	Not imputed
"
"MONEYPY","Annual gross household income for the last year","1	Less than $20,000
2	$20,000 - $39,999
3	$40,000 - $59,999
4	$60,000 to $79,999
5	$80,000 to $99,999
6	$100,000 to $119,999
7	$120,000 to $139,999
8	$140,000 or more
"
"ZMONEYPY","Imputation flag for MONEYPY","1	Imputed
0	Not imputed
"
"ENERGYASST","Participated in home energy assistance program","1	Yes
0	No
"
"ZENERGYASST","Imputation flag for ENERGYASST","1	Imputed
0	Not imputed
"
"ENERGYASST11","Received home energy assistance in 2011","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASST11","Imputation flag for ENERGYASST11","1	Imputed
0	Not imputed
-2	Not applicable
"
"ENERGYASST12","Received home energy assistance in 2012","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASST12","Imputation flag for ENERGYASST12","1	Imputed
0	Not imputed
-2	Not applicable
"
"ENERGYASST13","Received home energy assistance in 2013","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASST13","Imputation flag for ENERGYASST13","1	Imputed
0	Not imputed
-2	Not applicable
"
"ENERGYASST14","Received home energy assistance in 2014","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASST14","Imputation flag for ENERGYASST14","1	Imputed
0	Not imputed
-2	Not applicable
"
"ENERGYASST15","Received home energy assistance in 2015","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASST15","Imputation flag for ENERGYASST15","1	Imputed
0	Not imputed
-2	Not applicable
"
"ENERGYASSTOTH","Received home energy assistance in some other year","1	Yes
0	No
-2	Not applicable
"
"ZENERGYASSTOTH","Imputation flag for ENERGYASSTOTH","1	Imputed
0	Not imputed
-2	Not applicable
"
"SCALEB","Frequency of reducing or forgoing basic necessities due to home energy bill","1	Almost every month
2	Some months
3	1 or 2 months
0	Never
"
"ZSCALEB","Imputation flag for SCALEB","1	Imputed
0	Not imputed
"
"SCALEG","Frequency of keeping home at unhealthy temperature","1	Almost every month
2	Some months
3	1 or 2 months
0	Never
"
"ZSCALEG","Imputation flag for SCALEG","1	Imputed
0	Not imputed
"
"SCALEE","Frequency of receiving disconnect notice","1	Almost every month
2	Some months
3	1 or 2 months
0	Never
"
"ZSCALEE","Imputation flag for SCALEE","1	Imputed
0	Not imputed
"
"PAYHELP","Received energy assistance to help pay energy bills after disconnect notice","1	Yes
0	No
-2	Not applicable
"
"ZPAYHELP","Imputation flag for PAYHELP","1	Imputed
0	Not imputed
-2	Not applicable
"
"NOHEATBROKE","Unable to use heating equipment in the last year because equipment was broken and could not afford repair or replacement","1	Yes
0	No
"
"ZNOHEATBROKE","Imputation flag for NOHEATBROKE","1	Imputed
0	Not imputed
"
"NOHEATEL","Unable to use heating equipment in the last year because could not afford electricity and it was disconnected","1	Yes
0	No
"
"ZNOHEATEL","Imputation flag for NOHEATEL","1	Imputed
0	Not imputed
"
"NOHEATNG","Unable to use heating equipment in the last year because could not afford natural gas and it was disconnected","1	Yes
0	No
"
"ZNOHEATNG","Imputation flag for NOHEATNG","1	Imputed
0	Not imputed
"
"NOHEATBULK","Unable to use heating equipment in the last year because could not afford bulk fuel delivery","1	Yes
0	No
"
"ZNOHEATBULK","Imputation flag for NOHEATBULK","1	Imputed
0	Not imputed
"
"NOHEATDAYS","Number of days unable to use heating equipment in the last year","1 - 365	Number of days unable to use heating equipment in the last year
-2	Not applicable
"
"ZNOHEATDAYS","Imputation flag for NOHEATDAYS","1	Imputed
0	Not imputed
-2	Not applicable
"
"NOHEATHELP","Received energy assistance to help restore heating","1	Yes
0	No
-2	Not applicable
"
"ZNOHEATHELP","Imputation flag for NOHEATHELP","1	Imputed
0	Not imputed
-2	Not applicable
"
"COLDMA","Medical attention needed because home was too cold","1	Yes
0	No
"
"ZCOLDMA","Imputation flag for COLDMA","1	Imputed
0	Not imputed
"
"NOACBROKE","Unable to use cooling equipment in the last year because equipment was broken and could not afford repair or replacement","1	Yes
0	No
"
"ZNOACBROKE","Imputation flag for NOACBROKE","1	Imputed
0	Not imputed
"
"NOACEL","Unable to use cooling equipment in the last year because could not afford electricity and it was disconnected","1	Yes
0	No
"
"ZNOACEL","Imputation flag for NOACEL","1	Imputed
0	Not imputed
"
"NOACDAYS","Number of days unable to use cooling equipment in the last year","1 - 365	Number of days unable to use cooling equipment in the last year
-2	Not applicable
"
"ZNOACDAYS","Imputation flag for NOACDAYS","1	Imputed
0	Not imputed
-2	Not applicable
"
"NOACHELP","Received energy assistance to help restore cooling","1	Yes
0	No
-2	Not applicable
"
"ZNOACHELP","Imputation flag for NOACHELP","1	Imputed
0	Not imputed
-2	Not applicable
"
"HOTMA","Medical attention needed because home was too hot","1	Yes
0	No
"
"ZHOTMA","Imputation flag for HOTMA","1	Imputed
0	Not imputed
"
"USEEL","Electricity used","1	Yes
0	No
"
"ELWARM","Electricity used for space heating","1	Yes
0	No
"
"ELCOOL","Electricity used for air conditioning","1	Yes
0	No
"
"ELWATER","Electricity used for water heating","1	Yes
0	No
"
"ELFOOD","Electricity used for cooking","1	Yes
0	No
"
"ELOTHER","Electricity used, other than for space heating, water heating, air conditioning, or cooking","1	Yes
0	No
"
"USENG","Natural gas used","1	Yes
0	No
"
"UGWARM","Natural gas used for space heating","1	Yes
0	No
"
"UGWATER","Natural gas used for water heating","1	Yes
0	No
"
"UGCOOK","Natural gas used for cooking","1	Yes
0	No
"
"UGOTH","Natural gas used, other than for space heating, water heating, or cooking","1	Yes
0	No
"
"USELP","Propane used","1	Yes
0	No
"
"LPWARM","Propane used for space heating","1	Yes
0	No
"
"LPWATER","Propane used for water heating","1	Yes
0	No
"
"LPCOOK","Propane used for cooking","1	Yes
0	No
"
"LPOTHER","Propane used, other than for space heating, water heating, or cooking","1	Yes
0	No
"
"USEFO","Fuel oil used","1	Yes
0	No
"
"FOWARM","Fuel oil used for space heating","1	Yes
0	No
"
"FOWATER","Fuel oil used for water heating","1	Yes
0	No
"
"FOOTHER","Fuel oil used, other than for space heating or water heating","1	Yes
0	No
"
"USEWOOD","Wood used","1	Yes
0	No
"
"WDWARM","Wood used for space heating","1	Yes
0	No
"
"WDWATER","Wood used for water heating","1	Yes
0	No
"
"USESOLAR","Solar used","1	Yes
0	No
"
"SOLWATER","Solar used for water heating","1	Yes
0	No
"
"SOLOTHER","Solar used, other than for water heating","1	Yes
0	No
"
"TOTCSQFT","Total cooled square footage","NA	NA
"
"TOTHSQFT","Total heated square footage","NA	NA
"
"TOTSQFT_EN","Total square footage (used for publication)","NA	NA
"
"ZTOTSQFT_EN","Imputation flag for TOTSQFT_EN","1	Imputed
0	Not imputed
"
"TOTUCSQFT","Total uncooled square footage","NA	NA
"
"TOTUSQFT","Total unheated square footage","NA	NA
"
"NWEIGHT","Final sample weight","NA	NA
"
"BRRWT1","Replicate weight 1","NA	NA
"
"BRRWT2","Replicate weight 2","NA	NA
"
"BRRWT3","Replicate weight 3","NA	NA
"
"BRRWT4","Replicate weight 4","NA	NA
"
"BRRWT5","Replicate weight 5","NA	NA
"
"BRRWT6","Replicate weight 6","NA	NA
"
"BRRWT7","Replicate weight 7","NA	NA
"
"BRRWT8","Replicate weight 8","NA	NA
"
"BRRWT9","Replicate weight 9","NA	NA
"
"BRRWT10","Replicate weight 10","NA	NA
"
"BRRWT11","Replicate weight 11","NA	NA
"
"BRRWT12","Replicate weight 12","NA	NA
"
"BRRWT13","Replicate weight 13","NA	NA
"
"BRRWT14","Replicate weight 14","NA	NA
"
"BRRWT15","Replicate weight 15","NA	NA
"
"BRRWT16","Replicate weight 16","NA	NA
"
"BRRWT17","Replicate weight 17","NA	NA
"
"BRRWT18","Replicate weight 18","NA	NA
"
"BRRWT19","Replicate weight 19","NA	NA
"
"BRRWT20","Replicate weight 20","NA	NA
"
"BRRWT21","Replicate weight 21","NA	NA
"
"BRRWT22","Replicate weight 22","NA	NA
"
"BRRWT23","Replicate weight 23","NA	NA
"
"BRRWT24","Replicate weight 24","NA	NA
"
"BRRWT25","Replicate weight 25","NA	NA
"
"BRRWT26","Replicate weight 26","NA	NA
"
"BRRWT27","Replicate weight 27","NA	NA
"
"BRRWT28","Replicate weight 28","NA	NA
"
"BRRWT29","Replicate weight 29","NA	NA
"
"BRRWT30","Replicate weight 30","NA	NA
"
"BRRWT31","Replicate weight 31","NA	NA
"
"BRRWT32","Replicate weight 32","NA	NA
"
"BRRWT33","Replicate weight 33","NA	NA
"
"BRRWT34","Replicate weight 34","NA	NA
"
"BRRWT35","Replicate weight 35","NA	NA
"
"BRRWT36","Replicate weight 36","NA	NA
"
"BRRWT37","Replicate weight 37","NA	NA
"
"BRRWT38","Replicate weight 38","NA	NA
"
"BRRWT39","Replicate weight 39","NA	NA
"
"BRRWT40","Replicate weight 40","NA	NA
"
"BRRWT41","Replicate weight 41","NA	NA
"
"BRRWT42","Replicate weight 42","NA	NA
"
"BRRWT43","Replicate weight 43","NA	NA
"
"BRRWT44","Replicate weight 44","NA	NA
"
"BRRWT45","Replicate weight 45","NA	NA
"
"BRRWT46","Replicate weight 46","NA	NA
"
"BRRWT47","Replicate weight 47","NA	NA
"
"BRRWT48","Replicate weight 48","NA	NA
"
"BRRWT49","Replicate weight 49","NA	NA
"
"BRRWT50","Replicate weight 50","NA	NA
"
"BRRWT51","Replicate weight 51","NA	NA
"
"BRRWT52","Replicate weight 52","NA	NA
"
"BRRWT53","Replicate weight 53","NA	NA
"
"BRRWT54","Replicate weight 54","NA	NA
"
"BRRWT55","Replicate weight 55","NA	NA
"
"BRRWT56","Replicate weight 56","NA	NA
"
"BRRWT57","Replicate weight 57","NA	NA
"
"BRRWT58","Replicate weight 58","NA	NA
"
"BRRWT59","Replicate weight 59","NA	NA
"
"BRRWT60","Replicate weight 60","NA	NA
"
"BRRWT61","Replicate weight 61","NA	NA
"
"BRRWT62","Replicate weight 62","NA	NA
"
"BRRWT63","Replicate weight 63","NA	NA
"
"BRRWT64","Replicate weight 64","NA	NA
"
"BRRWT65","Replicate weight 65","NA	NA
"
"BRRWT66","Replicate weight 66","NA	NA
"
"BRRWT67","Replicate weight 67","NA	NA
"
"BRRWT68","Replicate weight 68","NA	NA
"
"BRRWT69","Replicate weight 69","NA	NA
"
"BRRWT70","Replicate weight 70","NA	NA
"
"BRRWT71","Replicate weight 71","NA	NA
"
"BRRWT72","Replicate weight 72","NA	NA
"
"BRRWT73","Replicate weight 73","NA	NA
"
"BRRWT74","Replicate weight 74","NA	NA
"
"BRRWT75","Replicate weight 75","NA	NA
"
"BRRWT76","Replicate weight 76","NA	NA
"
"BRRWT77","Replicate weight 77","NA	NA
"
"BRRWT78","Replicate weight 78","NA	NA
"
"BRRWT79","Replicate weight 79","NA	NA
"
"BRRWT80","Replicate weight 80","NA	NA
"
"BRRWT81","Replicate weight 81","NA	NA
"
"BRRWT82","Replicate weight 82","NA	NA
"
"BRRWT83","Replicate weight 83","NA	NA
"
"BRRWT84","Replicate weight 84","NA	NA
"
"BRRWT85","Replicate weight 85","NA	NA
"
"BRRWT86","Replicate weight 86","NA	NA
"
"BRRWT87","Replicate weight 87","NA	NA
"
"BRRWT88","Replicate weight 88","NA	NA
"
"BRRWT89","Replicate weight 89","NA	NA
"
"BRRWT90","Replicate weight 90","NA	NA
"
"BRRWT91","Replicate weight 91","NA	NA
"
"BRRWT92","Replicate weight 92","NA	NA
"
"BRRWT93","Replicate weight 93","NA	NA
"
"BRRWT94","Replicate weight 94","NA	NA
"
"BRRWT95","Replicate weight 95","NA	NA
"
"BRRWT96","Replicate weight 96","NA	NA
"
"CDD30YR","Cooling degree days, 30-year average 1981-2010, base temperature 65F","NA	NA
"
"CDD65","Cooling degree days in 2015, base temperature 65F","NA	NA
"
"CLIMATE_REGION_PUB","Building America Climate Zone","NA	Cold/Very Cold
NA	Hot-Dry/Mixed-Dry
NA	Hot-Humid
NA	Mixed-Humid
NA	Marine
"
"HDD30YR","Heating degree days, 30-year average 1981-2010, base temperature 65F","NA	NA
"
"HDD65","Heating degree days in 2015, base temperature 65F","NA	NA
"
"KWH","Total site electricity usage, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHSPH","Electricity usage for space heating, main and secondary, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHCOL","Electricity usage for air conditioning (central systems and individual units), in kilowatthours, 2015","NA	Kilowatthours
"
"KWHWTH","Electricity usage for water heating, main and secondary, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHRFG","Electricity usage for all refrigerators, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHRFG1","Electricity usage for first refrigerators, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHRFG2","Electricity usage for second refrigerators, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHFRZ","Electricity usage for freezers, in kilowatthours, 2015","NA	Kilowatthours
"
"KWHCOK","Electricity usage for cooking (stoves, cooktops, and ovens), in kilowatthours, 2015","NA	Kilowatthours
"
"KWHMICRO","Electricity usage for microwaves, in kilowatthours, 2015","NA	Kilowatthours
